,max_depth,max_features,min_samples_leaf,test_acc,test_logloss
0,3.0,sqrt,1,0.7081654703505184,0.566352717825494
1,3.0,log2,1,0.7081652475728372,0.5668548404403284
2,3.0,sqrt,3,0.7079542771087022,0.5662147142636983
3,3.0,log2,3,0.7079542771087022,0.5669020705769261
4,3.0,sqrt,5,0.7083762180369721,0.5660360767900277
5,3.0,log2,5,0.7077435294222483,0.5668413493734323
6,3.0,sqrt,10,0.7087981589652422,0.566060682617355
7,3.0,log2,10,0.7079542771087021,0.5668034488877748
8,3.0,sqrt,15,0.7083757724816098,0.5660055383652363
9,3.0,log2,15,0.7079542771087022,0.5667165211397615
10,5.0,sqrt,1,0.7119638298156737,0.5624901753492424
11,5.0,log2,1,0.7115418888874038,0.5626797380275275
12,5.0,sqrt,3,0.7121748002798087,0.5623779347538145
13,5.0,log2,3,0.7134412913976627,0.5627708240358564
14,5.0,sqrt,5,0.7111195024037713,0.5624232225994176
15,5.0,log2,5,0.7111197251814525,0.5627500735065128
16,5.0,sqrt,10,0.7117524137961763,0.5623762275666089
17,5.0,log2,10,0.7119640525933548,0.5627428745633409
18,5.0,sqrt,15,0.7119631614826301,0.5623033606573417
19,5.0,log2,15,0.7121745775021275,0.5626581469906422
20,8.0,sqrt,1,0.7083755497039285,0.563642697942624
21,8.0,log2,1,0.7096420408217823,0.5635028694781623
22,8.0,sqrt,3,0.7094312931353286,0.563628260027231
23,8.0,log2,3,0.7109089774949986,0.5633375341168138
24,8.0,sqrt,5,0.7111197251814525,0.5633497139521952
25,8.0,log2,5,0.7113309184232687,0.563095910127329
26,8.0,sqrt,10,0.7119633842603112,0.5629209276068293
27,8.0,log2,10,0.7111195024037711,0.5628152266182791
28,8.0,sqrt,15,0.7117528593515388,0.5627818826367859
29,8.0,log2,15,0.7119640525933549,0.5625431945747692
30,12.0,sqrt,1,0.7039462838454993,0.569885216052554
31,12.0,log2,1,0.7047894973689957,0.5692876182395933
32,12.0,sqrt,3,0.7071108408075245,0.5673130601007198
33,12.0,log2,3,0.7077437521999297,0.5669322469862772
34,12.0,sqrt,5,0.707110395252162,0.5667818810109171
35,12.0,log2,5,0.7075332272911571,0.5659045429976628
36,12.0,sqrt,10,0.7064781521928009,0.5651494176641143
37,12.0,log2,10,0.7085871885011071,0.5646526229659967
38,12.0,sqrt,15,0.7079551682194272,0.5640540700437626
39,12.0,log2,15,0.7106975614755011,0.5637597883378782
40,,sqrt,1,0.7031008425451903,0.5762665203919931
41,,log2,1,0.701202776701019,0.5755451903030521
42,,sqrt,3,0.7033129268977317,0.5705050869078401
43,,log2,3,0.706477483859757,0.5699362237433224
44,,sqrt,5,0.7062671817286658,0.5684211943600825
45,,log2,5,0.7062678500617093,0.5677633228605447
46,,sqrt,10,0.7050006906108118,0.565466058510261
47,,log2,10,0.709431738690691,0.5646486933866103
48,,sqrt,15,0.7073218112716595,0.563817396002902
49,,log2,15,0.708376886370016,0.5640020732436064
